x,y,z
98.96875,-0.421875,-0.671875
99.0625,-0.84375,-0.84375
99.34375,-0.390625,0.390625
99.609375,-0.84375,-0.390625
99.625,-1.0625,-0.140625
99.8125,-0.140625,0.140625
100.0625,-0.609375,-0.84375
100.15625,-0.609375,-0.609375
100.34375,-0.84375,-0.390625
100.5625,-0.390625,-0.140625
100.46875,-1.09375,-0.609375
100.53125,-0.84375,0.140625
100.65625,-0.390625,-1.765625
100.703125,-0.390625,-1.765625
100.828125,-0.390625,-1.765625
100.921875,-0.390625,-1.765625
101.0625,-0.390625,-1.765625
101.1875,-0.390625,-1.765625
107.171875,-0.390625,-1.765625
186.6875,-0.390625,-1.765625
255.92188,-0.390625,-1.765625
341.07813,-0.390625,-1.765625
39.46875,-0.390625,-1.765625
71.265625,-0.390625,-1.765625
89.9375,-0.390625,-1.765625
98.390625,-0.390625,-1.765625
107.140625,-6.109375,-4.515625
