x,y,z
151.0,3.296875,-0.140625
151.09375,0.140625,-0.390625
151.26563,-0.609375,0.140625
151.28125,-0.140625,-0.84375
151.48438,-0.609375,0.0
151.57813,-0.84375,-0.390625
151.48438,-0.84375,-0.609375
151.75,-0.84375,0.0
151.89063,-1.0625,0.140625
152.1875,-0.84375,0.84375
152.125,-0.59375,-0.59375
152.25,-1.09375,0.390625
152.03125,-0.609375,-0.390625
152.04688,-1.3125,0.0
151.79688,-0.609375,-0.390625
151.95313,-1.0625,0.0
151.92188,-0.84375,-0.390625
151.82813,-0.84375,-0.609375
151.73438,-0.609375,0.0
151.73438,-0.609375,-0.140625
151.76563,-0.171875,-0.390625
159.09375,-0.609375,3.53125
158.84375,-0.390625,0.171875
177.0625,-0.390625,0.171875
188.375,-0.390625,0.171875
188.39063,-0.390625,0.171875
179.70313,-0.390625,0.171875
171.82813,-0.390625,0.171875
171.57813,-0.390625,0.171875
171.17188,-0.390625,0.171875
165.21875,-0.390625,0.171875
165.29688,-0.390625,0.171875
165.46875,-0.390625,0.171875
