x,y,z
-0.0784532,0.1176798,10.630408
-0.0392266,0.1176798,10.238142
0.0392266,0.1569064,10.277369
-0.588399,0.19613299,10.238142
-0.0,0.0784532,10.120462
-0.0392266,0.1176798,10.355823
-0.0392266,0.1569064,10.1989155
-0.0,0.1176798,10.081236
-0.0,0.0392266,10.1989155
-0.0,0.1569064,10.277369
-0.0784532,0.0392266,10.1989155
0.0392266,0.1176798,10.120462
-0.0,0.2353596,10.238142
-0.0784532,0.0784532,10.042009
-0.0392266,-0.588399,10.238142
0.588399,0.0784532,10.002783
-0.0392266,0.19613299,10.081236
0.0392266,0.1176798,10.081236
0.588399,0.1176798,10.1989155
-0.0784532,0.1176798,10.1989155
-0.0,0.19613299,10.002783
0.0392266,0.1569064,9.963556
-0.0,0.1569064,10.159689
-0.0784532,0.19613299,10.1989155
-0.1176798,0.1569064,10.355823
-0.1176798,-0.588399,10.081236
-0.1176798,0.0784532,10.002783
-0.0784532,0.0392266,10.159689
-0.0,0.0392266,9.963556
0.0392266,0.0784532,10.1989155
-0.2745862,0.1569064,10.042009
0.2353596,0.19613299,10.395049
0.1569064,0.1176798,10.355823
-0.0392266,0.0392266,10.1989155
0.0392266,-0.0392266,10.081236
0.1569064,0.0392266,9.45361
0.19613299,0.0784532,10.277369
0.1569064,-0.0,10.316595
0.5099458,0.0784532,10.238142
0.5491724,-0.2353596,10.316595
0.3138128,-0.19613299,10.551955
-0.19613299,-0.19613299,9.5320635
-0.2745862,0.1176798,10.042009
0.35303938,0.2745862,10.1989155
0.1569064,-0.0,10.395049
-0.0,-0.1176798,10.120462
-0.19613299,0.3138128,9.963556
-0.0,0.35303938,10.002783
0.1569064,0.35303938,10.669635
0.2745862,-0.1569064,11.140354
1.7651969,-0.6276256,9.139797
2.1966896,-0.98066497,9.68897
-0.6668522,-0.0784532,10.551955
-1.4513842,0.2353596,10.434276
-3.0596747,-0.2353596,10.591182
-0.588399,-0.2353596,10.983448
-0.98066497,0.2353596,10.983448
-0.19613299,0.2353596,10.120462
-0.0,0.6668522,9.649743
0.5099458,0.1176798,9.767424
1.2160245,0.1176798,10.708861
0.2353596,-0.1569064,9.5320635
-2.3143694,2.2359161,8.982891
-1.1375713,2.7850885,10.708861
-0.2745862,2.1966896,12.434832
-1.2160245,1.6082906,11.728753
-0.8237586,0.5099458,11.258034
-1.2944778,0.0392266,10.904995
-2.3928225,0.0392266,10.748088
-3.2558076,0.2745862,9.92433
-3.8834333,0.5099458,9.610517
-4.1580195,0.3138128,10.081236
-3.2558076,-0.0784532,10.434276
-1.9221034,-0.0,9.845877
-2.0005565,0.1176798,9.414384
-0.1569064,-1.2552512,7.335374
4.1580195,-3.5696206,5.060231
0.6668522,-5.295591,5.88399
1.4513842,-4.589512,9.649743
0.2745862,-1.7259704,12.238699
-2.7850885,-0.39226598,13.572403
-4.4718323,0.5099458,13.886216
-9.728196,4.4718323,15.180694
-1.2552512,0.0784532,12.434832
-0.4707192,-0.9414384,6.6292953
-3.3734875,0.0392266,1.7259704
-4.118793,0.19613299,6.9823346
-4.903325,-0.8629852,10.434276
-3.6088471,-0.98066497,10.708861
-1.7651969,-1.0983448,10.002783
-1.9613299,-1.0983448,10.042009
-1.7259704,-1.8436501,11.179581
-2.1574628,-1.6867437,10.120462
-1.7651969,-2.1966896,10.238142
-2.0397832,-2.3928225,10.591182
-2.5105023,-2.4712758,11.6110735
-2.1574628,-2.5105023,12.356379
-1.2944778,-3.726527,12.905551
-0.4314926,-4.3149257,13.49395
0.3138128,-4.589512,14.396162
1.0591182,-4.864098,15.063014
1.8044236,-4.785645,15.651413
2.3928225,-4.4326057,15.886772
2.8635418,-3.8834333,15.729866
2.6674087,-3.9226599,12.552511
3.0204482,-4.6679654,14.984561
3.3734875,-5.1386843,14.788428
3.726527,-4.8248715,14.003896
4.6679654,-4.7464185,15.0237875
4.7464185,-4.3149257,14.278482
4.7464185,-4.1580195,13.807763
4.589512,-4.1580195,13.219364
4.589512,-3.9226599,12.00334
4.393379,-3.6088471,11.964112
4.2364726,-3.0989013,11.179581
3.9226599,-2.6674087,10.395049
3.412714,-2.1574628,9.728196
3.0204482,-1.9221034,9.296704
2.9812214,-1.7259704,8.825985
2.8635418,-1.0983448,8.394492
2.745862,-0.5491724,7.72764
2.432049,0.0392266,7.4138274
2.432049,0.4707192,7.021561
2.3928225,0.588399,6.943108
2.1574628,0.8237586,6.4723887
1.9613299,1.4906107,6.590069
1.9613299,1.4121575,6.354709
2.5105023,1.4121575,6.158576
1.8436501,1.6867437,6.354709
1.7651969,1.9221034,6.158576
1.8436501,2.2359161,6.00167
1.7651969,2.432049,5.7270837
1.8436501,2.5497289,5.6878567
2.0005565,2.6674087,5.5309505
2.2751427,2.7850885,5.64863
-0.5099458,3.5303938,6.6292953
-0.3138128,3.8834333,7.453054
0.588399,3.6088471,8.316039
2.5105023,2.5889556,9.80665
4.3149257,2.9812214,5.6878567
4.118793,2.6281822,6.7862015
