x,y,z
-5.5625,-3.75,-41.125
-5.625,-3.6875,-41.125
-5.375,-3.8125,-41.125
-5.1875,-3.9375,-41.125
-5.1875,-4.0625,-40.9375
-5.1875,-4.0,-40.8125
-5.125,-4.1875,-40.9375
-4.9375,-4.375,-40.75
-4.9375,-4.5,-40.6875
-4.875,-4.4375,-40.625
-5.1875,-4.5,-40.5
-5.0625,-4.5625,-40.4375
-4.875,-4.5625,-40.5625
-4.9375,-4.5,-40.625
-4.8125,-4.6875,-40.375
-4.9375,-4.8125,-40.3125
-5.0,-4.5625,-40.1875
-4.9375,-4.625,-39.9375
-4.75,-4.5625,-39.9375
-5.0,-4.5,-39.75
-5.0625,-4.5625,-39.75
-5.0625,-4.375,-39.625
-5.1875,-4.1875,-39.75
-4.9375,-4.0,-39.75
-5.0,-4.125,-39.8125
-5.0625,-3.9375,-40.0
-5.125,-3.9375,-40.0
-5.0625,-4.0625,-40.1875
-5.125,-4.0,-40.0625
-5.25,-4.3125,-40.125
-5.125,-4.3125,-40.125
-5.375,-4.5625,-40.125
-5.25,-4.5625,-40.125
-5.3125,-4.5625,-40.0
-5.1875,-4.625,-40.1875
-5.25,-4.5625,-40.3125
-5.375,-4.4375,-40.3125
-5.375,-4.3125,-40.5
-5.4375,-4.4375,-40.4375
-5.5625,-4.375,-40.5
-5.75,-4.375,-40.5
-5.75,-4.625,-40.6875
-5.75,-4.625,-40.5
-5.8125,-4.5625,-40.375
-5.75,-4.75,-40.3125
-5.8125,-4.8125,-40.25
-5.875,-4.9375,-40.25
-5.5625,-4.75,-40.3125
-5.4375,-4.625,-40.25
-5.5625,-4.6875,-40.1875
-5.4375,-4.75,-40.1875
-5.125,-4.8125,-40.125
-4.875,-5.0,-40.1875
-4.75,-5.0625,-40.125
-4.5,-5.0625,-40.1875
-4.4375,-5.1875,-39.9375
-4.125,-5.375,-40.125
-3.75,-5.25,-40.0
-3.4375,-5.5,-40.0
-3.3125,-5.75,-40.1875
-3.0,-5.6875,-40.3125
-2.4375,-5.625,-40.3125
-2.0,-5.4375,-40.3125
-1.5,-5.3125,-40.5
-1.0,-5.375,-40.375
-0.5,-5.125,-40.3125
0.0625,-5.0,-40.1875
0.5,-4.875,-39.875
1.1875,-4.625,-39.625
1.8125,-4.3125,-39.4375
2.625,-4.25,-39.375
3.5,-4.0625,-39.25
4.25,-3.75,-39.0
5.3125,-3.5625,-38.75
6.1875,-2.9375,-38.4375
7.3125,-2.4375,-38.25
8.25,-2.0625,-38.125
9.0,-1.875,-38.0
9.5,-1.375,-37.8125
9.75,-1.0,-37.5625
9.8125,-0.75,-37.4375
9.6875,-0.6875,-37.5
9.5,-0.75,-37.6875
9.5,-0.625,-37.8125
9.6875,-0.625,-37.4375
9.875,-0.5625,-37.1875
10.375,-0.5625,-36.875
10.875,-0.6875,-36.6875
11.6875,-0.6875,-36.25
12.4375,-0.375,-36.3125
13.125,-0.1875,-36.375
13.375,-0.0625,-36.25
13.1875,0.1875,-36.3125
12.625,0.625,-36.5625
12.3125,1.3125,-36.75
11.6875,1.9375,-36.9375
10.4375,2.75,-37.375
9.375,3.4375,-37.5
7.875,4.5,-37.25
6.25,5.5625,-37.25
4.875,6.625,-37.375
3.625,7.5625,-37.125
1.9375,8.375,-37.0625
0.125,9.0625,-37.125
-1.375,9.625,-37.0625
-2.9375,9.75,-36.8125
-4.375,9.5625,-37.0
-5.9375,9.3125,-37.125
-7.625,8.75,-37.3125
-9.4375,7.875,-37.3125
-11.25,6.9375,-37.1875
-12.9375,5.9375,-37.125
-14.875,4.75,-36.8125
-17.0625,3.875,-36.625
-19.1875,2.9375,-36.1875
-21.0,1.5,-35.5
-22.9375,0.5,-34.75
-24.8125,-0.75,-34.25
-26.4375,-1.8125,-33.6875
-28.0625,-3.0625,-32.9375
-29.375,-4.3125,-32.375
-31.5625,-6.625,-31.1875
-32.625,-7.625,-30.75
-34.3125,-9.5625,-30.125
-35.0625,-10.8125,-29.375
-35.875,-11.5,-28.8125
-36.75,-12.125,-28.125
-37.375,-12.75,-27.6875
-37.875,-13.4375,-27.0
-38.125,-13.875,-26.3125
-38.4375,-14.3125,-25.8125
-38.625,-14.625,-25.375
-38.625,-14.75,-25.3125
-38.5,-15.3125,-25.375
-38.5625,-15.5625,-25.125
-38.75,-15.6875,-25.0625
-39.0,-16.0,-25.125
-39.0625,-16.3125,-24.9375
-39.125,-16.9375,-24.875
-39.125,-17.3125,-24.6875
-39.0625,-17.875,-24.625
-38.875,-18.1875,-24.875
-38.5,-18.625,-24.875
-38.0,-19.0,-24.875
-37.625,-19.1875,-25.0625
-37.4375,-19.1875,-25.0625
-37.0625,-19.0625,-25.0625
-36.6875,-19.125,-25.1875
-36.375,-19.125,-25.125
-36.1875,-19.0625,-25.125
-36.125,-19.0625,-25.375
-36.0625,-18.8125,-25.625
-36.125,-18.625,-25.75
-35.8125,-18.8125,-25.875
-34.0625,-22.625,-27.0
-33.5,-22.0,-26.75
-33.125,-21.8125,-27.0625
-33.6875,-21.9375,-27.0625
-33.5,-21.9375,-27.0625
-33.6875,-22.0,-27.125
-33.8125,-21.75,-26.625
-33.5,-22.0,-26.875
-33.1875,-22.0625,-27.0625
-33.0625,-22.1875,-27.25
-32.9375,-22.1875,-27.3125
-32.75,-22.5625,-27.25
-32.5,-22.5625,-27.4375
-32.0,-22.8125,-27.4375
-31.625,-23.0625,-27.5625
-31.5625,-23.125,-27.375
-31.375,-23.1875,-27.3125
-31.1875,-23.375,-27.1875
-31.0625,-23.375,-27.125
-30.625,-23.375,-27.1875
-30.4375,-23.25,-27.1875
-30.5,-23.125,-27.4375
-30.25,-23.0625,-27.5625
-30.0,-22.9375,-27.9375
-29.8125,-22.75,-28.0
-29.625,-22.3125,-28.25
-29.5625,-22.125,-28.1875
-29.375,-21.875,-28.375
-29.0,-22.0,-28.375
-28.5625,-22.0,-28.4375
-28.1875,-22.0625,-28.8125
-27.375,-22.125,-29.3125
-26.5625,-22.25,-29.625
