x,y,z
-4.1580195,-0.19613299,10.8657675
-2.941995,-0.2745862,8.237586
-0.19613299,-1.0591182,11.689527
2.5105023,0.3138128,9.728196
-0.1176798,-0.1176798,10.042009
-0.1569064,-0.1176798,10.630408
0.6276256,0.2745862,11.728753
1.2944778,0.3138128,10.787314
0.70607877,-0.8237586,9.061344
0.8237586,-1.6082906,10.316595
0.6668522,-1.2552512,10.748088
0.588399,-1.6475172,10.904995
1.0591182,-2.2359161,11.6503
0.2353596,-2.9027684,11.846433
-0.4314926,-3.4911673,11.336487
0.1569064,-2.9027684,11.885659
0.78453195,-2.3928225,13.101684
1.2552512,-3.1381278,14.866881
0.6668522,-4.511059,16.004452
1.2552512,-4.903325,15.886772
1.2944778,-4.1580195,14.670748
2.7850885,-3.1773546,9.375157
6.3939357,-4.3541527,8.512172
3.334261,-2.9812214,12.2779255
3.4911673,-4.2364726,12.670192
3.9226599,-4.197246,14.984561
4.3149257,-4.511059,14.317709
4.785645,-4.4718323,13.415497
5.217138,-4.628739,12.552511
4.9425516,-5.217138,11.454167
5.3348174,-5.3348174,11.454167
5.1386843,-3.6873002,12.160246
4.8248715,-2.0790098,11.885659
4.275699,-2.432049,12.356379
3.4911673,-2.353596,12.00334
3.5696206,-1.5298374,11.6503
3.6480737,-0.9414384,11.179581
3.80498,-0.1176798,10.238142
3.3734875,0.5491724,9.610517
3.80498,-0.9022118,9.57129
3.0596747,-1.2944778,9.335931
2.824315,-1.4513842,9.649743
2.8635418,-0.9414384,11.022675
3.726527,0.2745862,10.983448
3.0596747,0.4314926,10.473502
2.432049,0.2745862,8.825985
2.2751427,0.0392266,8.669079
2.1574628,-0.1569064,8.159133
1.8436501,-0.0392266,8.237586
1.7651969,0.19613299,8.786758
1.5690639,0.35303938,9.57129
1.8044236,0.1569064,10.002783
2.1574628,-0.19613299,9.767424
2.2751427,-0.3138128,8.590625
2.2359161,-0.74530536,7.2961473
2.3928225,-0.74530536,6.9038815
1.8828768,-1.1375713,6.354709
1.8828768,-1.2552512,6.7862015
2.0005565,-0.98066497,8.080679
2.432049,-1.3337044,8.433719
3.5696206,-1.3337044,8.355266
4.393379,-1.7651969,8.159133
4.903325,-2.0397832,7.8845463
5.1386843,-2.1966896,7.8845463
5.4524975,-2.5889556,8.276813
5.6094036,-3.2950344,8.237586
5.4524975,-2.6674087,7.8453197
5.4524975,-3.1773546,7.923773
5.6878567,-2.5105023,8.394492
6.3939357,-3.6480737,8.629851
6.433162,-4.275699,8.041452
6.825428,-4.1580195,7.139241
6.354709,-2.9812214,7.100014
6.158576,-4.589512,6.354709
6.0408964,-5.1386843,7.335374
5.4524975,-5.374044,8.002226
5.060231,-5.9232163,7.256921
4.628739,-6.4723887,7.0607877
5.2563643,-6.3154826,6.0408964
5.2563643,-6.00167,5.88399
6.590069,-5.570177,5.8447633
7.963,-6.2762556,5.0210047
4.589512,-5.060231,5.8447633
4.6679654,-2.745862,6.864655
