x,y,z
189.40625,2.90625,-5.375
200.76563,0.140625,0.140625
201.17188,0.0,-1.09375
206.21875,-0.390625,0.0
206.35938,0.140625,-0.140625
206.625,-0.171875,0.0
206.26563,3.046875,-0.390625
210.70313,-0.609375,0.609375
201.07813,0.140625,-3.296875
207.64063,-0.140625,0.609375
207.82813,0.140625,0.390625
207.9375,0.140625,0.390625
208.35938,0.140625,0.390625
212.10938,0.140625,0.390625
218.01563,0.140625,0.390625
218.17188,0.140625,0.390625
218.35938,0.140625,0.390625
218.67188,0.140625,0.390625
218.82813,0.140625,0.390625
218.98438,0.140625,0.390625
219.26563,0.140625,0.390625
219.46875,0.140625,0.390625
247.64063,0.140625,0.390625
