x,y,z
8.6875,-9.1875,-59.0625
8.8125,-9.0625,-59.125
8.75,-9.3125,-59.0
9.0,-9.5625,-59.0
9.0,-9.75,-59.0625
9.0625,-9.75,-59.125
9.0,-9.5625,-59.3125
9.0625,-9.5625,-59.625
9.125,-9.625,-59.375
9.1875,-9.625,-59.5
9.125,-9.4375,-59.5625
9.0,-9.0625,-59.625
8.75,-9.0625,-59.4375
8.75,-9.1875,-59.3125
8.625,-9.375,-59.25
8.625,-9.25,-58.9375
8.4375,-9.3125,-58.9375
8.5625,-9.3125,-58.875
8.625,-9.5,-58.875
8.5625,-9.625,-58.6875
8.625,-9.4375,-58.8125
8.375,-9.5,-58.75
8.375,-9.5,-58.625
8.5,-9.625,-58.75
8.5625,-9.625,-58.9375
8.4375,-9.6875,-58.875
8.375,-9.375,-58.875
8.4375,-9.5625,-59.0625
8.625,-9.6875,-58.875
8.75,-9.5,-59.0
8.8125,-9.625,-58.9375
8.9375,-9.75,-58.625
8.875,-9.8125,-58.5
8.9375,-9.9375,-58.4375
9.0,-9.6875,-58.25
8.75,-9.875,-58.4375
8.875,-10.0,-58.3125
8.5625,-9.875,-58.4375
8.4375,-10.0,-58.5
8.3125,-9.875,-58.5625
8.5625,-9.75,-58.6875
8.5,-9.625,-58.875
8.4375,-9.875,-58.9375
8.625,-9.875,-58.8125
8.5,-9.75,-58.9375
8.5,-9.8125,-59.0625
8.4375,-9.75,-58.875
8.625,-9.6875,-59.0625
8.4375,-9.8125,-59.0625
8.375,-9.9375,-58.9375
8.5625,-9.875,-58.6875
8.625,-9.875,-58.6875
8.8125,-9.75,-58.125
8.75,-9.875,-57.9375
8.75,-10.0,-57.8125
8.8125,-10.0,-57.8125
8.75,-10.0,-57.9375
8.5625,-10.125,-58.25
8.625,-10.0625,-58.375
8.6875,-10.0,-58.4375
8.6875,-10.0,-58.6875
8.75,-10.0625,-58.8125
8.625,-10.1875,-58.8125
8.5,-10.25,-58.9375
8.75,-10.25,-58.6875
8.6875,-10.25,-58.625
8.5625,-10.375,-58.4375
8.5625,-10.5,-58.3125
8.6875,-10.375,-58.1875
8.75,-10.3125,-58.125
8.6875,-10.1875,-58.25
8.9375,-10.0625,-58.1875
8.625,-9.9375,-58.375
8.625,-9.9375,-58.5
8.6875,-9.75,-58.5
8.5,-9.625,-58.625
8.5625,-9.75,-58.5625
8.375,-9.75,-58.5
8.5,-10.0,-58.375
8.3125,-10.1875,-58.25
8.25,-10.375,-58.0625
8.3125,-10.4375,-57.75
8.25,-10.75,-57.9375
8.3125,-10.75,-57.875
8.0625,-10.875,-57.9375
8.0625,-10.9375,-58.0625
8.25,-10.8125,-58.125
8.4375,-10.625,-58.1875
8.9375,-10.625,-58.375
9.375,-10.5625,-58.5
10.0,-10.3125,-58.375
11.0,-10.3125,-58.3125
12.0,-10.25,-58.25
13.25,-10.0625,-58.25
14.5,-10.0,-58.125
15.6875,-10.1875,-57.9375
17.125,-10.375,-57.6875
18.75,-10.875,-57.375
20.625,-11.5625,-56.75
22.3125,-12.0,-55.9375
24.3125,-12.8125,-54.9375
26.25,-13.8125,-53.5625
30.1875,-16.25,-50.8125
32.0625,-17.5,-49.3125
33.75,-18.6875,-47.8125
35.1875,-19.9375,-46.4375
36.5625,-21.25,-44.9375
37.75,-22.375,-43.4375
38.875,-23.4375,-42.0
39.8125,-24.25,-40.5625
40.4375,-25.0625,-39.125
40.8125,-25.75,-37.875
41.25,-26.5,-36.5625
41.1875,-27.0,-35.6875
41.0,-27.5,-35.0625
40.4375,-27.9375,-34.6875
39.875,-28.75,-34.5
39.375,-29.4375,-34.3125
38.8125,-30.0,-34.125
38.625,-30.9375,-33.8125
38.25,-31.625,-33.4375
