x,y,z
182.8125,2.828125,-0.390625
182.89063,0.140625,-0.140625
183.0625,0.140625,-0.609375
183.28125,0.140625,-0.140625
183.3125,-0.390625,-0.390625
183.1875,-2.15625,-0.859375
176.70313,-3.53125,-2.546875
185.09375,-0.140625,0.84375
185.04688,-0.640625,-1.09375
184.9375,0.0,-0.609375
184.875,-0.84375,-0.390625
185.10938,0.609375,0.0
184.78125,-0.390625,-1.0625
184.46875,-0.390625,-1.0625
184.23438,-0.390625,-1.0625
184.14063,-0.390625,-1.0625
184.21875,-0.171875,-0.390625
184.34375,-0.171875,0.171875
184.17188,-0.390625,-0.609375
184.20313,0.0,-0.171875
184.34375,0.0,-0.140625
184.375,-0.390625,-0.140625
184.29688,0.0,-0.140625
184.4375,-0.609375,-0.140625
184.53125,-0.140625,-0.609375
184.20313,0.359375,-0.359375
184.15625,-0.171875,0.0
183.95313,-0.171875,-0.609375
184.04688,0.0,-0.390625
183.82813,0.0,-0.609375
183.85938,-0.609375,-0.171875
183.60938,-0.390625,-0.609375
183.5,-0.390625,-0.609375
183.64063,-0.140625,0.140625
183.57813,0.0,-0.140625
183.71875,-0.609375,0.390625
183.875,-0.84375,0.390625
183.71875,-0.140625,-0.84375
183.45313,-0.140625,-0.609375
183.3125,-0.171875,-0.390625
183.40625,-0.390625,0.0
183.39063,-0.140625,0.0
183.59375,-0.140625,0.390625
183.67188,-0.140625,0.0
179.71875,0.140625,-1.3125
179.76563,-0.390625,-0.390625
179.85938,-0.390625,-0.140625
180.01563,0.140625,-0.609375
180.15625,0.140625,-0.390625
180.375,-0.140625,0.0
180.35938,-0.84375,-0.609375
180.48438,-1.09375,-0.171875
180.40625,0.0,-0.390625
180.46875,0.0,-0.390625
180.64063,0.0,-0.390625
180.6875,0.0,-0.390625
180.71875,0.0,-0.390625
180.73438,0.0,-0.390625
164.28125,-0.140625,-7.4375
171.78125,0.0,-0.84375
177.625,3.046875,-0.140625
177.9375,-0.140625,-0.390625
178.14063,-0.140625,-0.390625
178.46875,-0.140625,0.0
178.875,-0.140625,-0.140625
178.875,0.390625,-0.390625
178.90625,-0.140625,-0.84375
179.07813,-0.140625,0.0
179.35938,-0.171875,-0.171875
179.45313,-0.609375,0.0
179.65625,-0.609375,-0.609375
179.51563,0.140625,-1.0625
179.78125,-0.171875,0.0
179.92188,-0.609375,-0.140625
179.875,3.28125,-0.609375
180.01563,0.0,-0.609375
180.25,0.0,-0.140625
180.28125,0.0,-0.140625
180.57813,0.0,-0.140625
180.73438,0.0,-0.140625
180.76563,0.0,-0.140625
180.95313,0.0,-0.140625
181.07813,0.0,-0.140625
181.21875,0.0,-0.140625
181.34375,0.0,-0.140625
181.3125,0.0,-0.140625
181.39063,0.0,-0.140625
181.32813,0.0,-0.140625
181.35938,0.0,-0.140625
181.53125,0.0,-0.140625
181.73438,0.0,-0.140625
181.71875,0.0,-0.140625
181.92188,0.0,-0.140625
181.95313,0.0,-0.140625
182.10938,0.0,-0.140625
182.34375,0.0,-0.140625
182.39063,0.0,-0.140625
182.57813,0.0,-0.140625
182.67188,0.0,-0.140625
182.73438,0.0,-0.140625
182.70313,0.0,-0.140625
182.95313,0.0,-0.140625
182.92188,0.0,-0.140625
182.9375,0.0,-0.140625
183.04688,0.0,-0.140625
182.95313,0.0,-0.140625
182.90625,0.0,-0.140625
182.95313,0.0,-0.140625
183.09375,0.0,-0.140625
183.125,0.0,-0.140625
183.21875,0.0,-0.140625
183.29688,0.0,-0.140625
183.5,0.0,-0.140625
183.51563,0.0,-0.140625
183.53125,0.0,-0.140625
183.78125,0.0,-0.140625
183.89063,0.0,-0.140625
183.95313,0.0,-0.140625
183.85938,0.0,-0.140625
183.82813,0.0,-0.140625
183.95313,0.0,-0.140625
184.15625,0.0,-0.140625
184.17188,0.0,-0.140625
184.09375,0.0,-0.140625
184.20313,0.0,-0.140625
184.17188,0.0,-0.140625
184.125,0.0,-0.140625
184.03125,0.0,-0.140625
183.95313,0.0,-0.140625
184.0,0.0,-0.140625
183.96875,0.0,-0.140625
184.01563,0.0,-0.140625
184.09375,0.0,-0.140625
184.17188,0.0,-0.140625
184.26563,0.0,-0.140625
184.4375,0.0,-0.140625
184.35938,0.0,-0.140625
184.25,0.0,-0.140625
184.10938,0.0,-0.140625
184.125,0.0,-0.140625
184.04688,0.0,-0.140625
183.98438,0.0,-0.140625
183.82813,0.0,-0.140625
183.79688,0.0,-0.140625
183.78125,0.0,-0.140625
183.60938,0.0,-0.140625
183.76563,0.0,-0.140625
183.875,0.0,-0.140625
183.98438,0.0,-0.140625
183.9375,0.0,-0.140625
184.0,0.0,-0.140625
184.0,0.0,-0.140625
183.95313,0.0,-0.140625
183.8125,0.0,-0.140625
183.60938,0.0,-0.140625
183.5625,0.0,-0.140625
183.54688,0.0,-0.140625
183.625,0.0,-0.140625
183.70313,0.0,-0.140625
184.0,0.0,-0.140625
184.21875,0.0,-0.140625
184.45313,0.0,-0.140625
184.625,0.0,-0.140625
184.79688,0.0,-0.140625
185.0,0.0,-0.140625
185.03125,0.0,-0.140625
185.15625,0.0,-0.140625
185.23438,0.0,-0.140625
