x,y,z
-0.0784532,-0.0,10.002783
-0.0392266,0.1569064,10.277369
-0.1176798,0.1569064,10.238142
0.6276256,-0.0,10.1989155
-0.0,0.0784532,10.159689
-0.2353596,0.0784532,10.159689
-0.0784532,0.0392266,10.042009
-0.1569064,0.2745862,10.238142
-0.2353596,0.1569064,10.1989155
-0.19613299,0.1176798,10.1989155
-0.1569064,0.1176798,10.120462
-0.0784532,-0.0,10.1989155
-0.0392266,0.1176798,10.1989155
-0.0784532,0.1176798,10.277369
-0.0784532,0.0392266,10.081236
-0.1176798,0.19613299,10.081236
-0.0392266,-0.0,10.1989155
-0.0784532,0.2745862,10.316595
0.0784532,0.1176798,10.120462
-0.19613299,0.1569064,10.238142
-0.0392266,0.1176798,10.355823
-0.0392266,0.1176798,10.120462
-0.1569064,0.0392266,10.1989155
-0.0784532,-0.0,10.042009
-0.19613299,0.0784532,10.1989155
-0.0392266,-0.0,10.316595
-0.0784532,0.1569064,10.277369
-0.19613299,0.0784532,10.1989155
-0.1176798,0.1569064,10.081236
-0.0392266,0.1569064,10.159689
-0.0392266,0.1176798,10.159689
0.5491724,-0.0,10.277369
-0.0392266,0.1176798,10.277369
0.6276256,0.1569064,10.1989155
-0.0392266,0.19613299,10.1989155
-0.0,0.1176798,10.120462
-0.0392266,0.1176798,10.316595
-0.0392266,-0.0,10.159689
-0.1176798,0.1569064,10.120462
-0.1176798,0.1176798,10.081236
-0.0784532,0.1176798,10.120462
-0.1569064,0.0392266,10.277369
-0.0392266,0.0784532,10.002783
-0.1569064,0.1176798,10.395049
-0.19613299,-0.0,10.159689
-0.0784532,0.1176798,10.042009
-0.0784532,-0.0,10.159689
-0.0392266,-0.0392266,10.042009
-0.0,0.0784532,10.159689
-0.0,0.1569064,10.277369
-0.0,0.0784532,10.277369
-0.0392266,0.1176798,9.45361
-0.0392266,0.1176798,10.120462
-0.1176798,-0.588399,10.1989155
-0.0784532,0.0392266,10.316595
0.0392266,0.0784532,10.120462
-0.0392266,0.0392266,10.120462
-0.1176798,-0.0,10.120462
-0.1176798,-0.0,9.5320635
-0.1176798,0.0392266,10.277369
-0.0392266,0.0392266,10.159689
-0.0784532,0.19613299,10.159689
-0.1176798,0.1176798,10.1989155
-0.0,-0.0,10.081236
-0.0392266,0.2353596,10.1989155
-0.1176798,0.1176798,10.120462
-0.1176798,0.1569064,10.238142
0.0392266,0.2745862,10.002783
-0.1569064,0.0784532,10.316595
-0.0392266,-0.0,10.159689
-0.1176798,0.0784532,10.1989155
-0.0,0.1176798,10.159689
-0.1176798,0.0784532,10.238142
-0.0392266,0.0392266,10.081236
-0.1569064,0.1176798,10.238142
-0.0784532,0.0392266,10.1989155
-0.0,0.0392266,10.159689
-0.0784532,-0.0,10.238142
-0.0,-0.5099458,10.081236
-0.1569064,0.19613299,10.081236
0.0392266,0.1176798,10.238142
0.0392266,0.0392266,10.238142
-0.0784532,0.19613299,10.316595
-0.0,0.0784532,10.081236
-0.1176798,0.1569064,10.120462
-0.1176798,-0.0,10.120462
-0.0392266,-0.0392266,10.159689
-0.0784532,0.1176798,10.238142
-0.2353596,0.1569064,10.120462
-0.1569064,0.1569064,10.277369
-0.0784532,0.0784532,10.159689
-0.0784532,0.0784532,10.081236
-0.0392266,0.0784532,10.277369
-0.0392266,0.0784532,10.1989155
-0.0,0.0784532,10.238142
-0.1569064,0.0392266,10.277369
-0.0784532,0.1569064,10.395049
-0.0392266,0.0784532,10.238142
-0.0392266,0.1569064,10.002783
-0.0784532,0.1176798,10.1989155
-0.1176798,-0.0,10.277369
-0.0784532,0.0784532,10.1989155
-0.0784532,0.1176798,10.159689
0.0784532,0.1176798,10.081236
-0.1176798,0.0784532,10.355823
-0.0392266,0.1569064,10.159689
-0.1176798,0.19613299,10.277369
-0.1176798,0.1176798,10.316595
-0.19613299,0.0392266,10.120462
0.0392266,0.0784532,10.081236
-0.1176798,0.0392266,10.042009
-0.1569064,0.19613299,10.081236
-0.1569064,0.0392266,10.355823
-0.1176798,0.0784532,10.081236
-0.0784532,0.0392266,10.042009
-0.0,0.0784532,10.120462
-0.1176798,0.1176798,10.159689
-0.1176798,0.0784532,10.120462
-0.0784532,0.6276256,10.042009
-0.0784532,0.0392266,10.316595
-0.1569064,0.0784532,10.081236
-0.0784532,0.0784532,9.92433
-0.0784532,-0.0,10.120462
-0.0,0.0784532,10.159689
-0.0,0.0392266,10.120462
-0.1569064,0.0784532,10.238142
-0.0,0.0784532,10.120462
-0.1569064,-0.0,10.1989155
-0.1176798,0.0784532,10.159689
-0.1176798,0.1569064,10.277369
-0.0392266,0.0784532,10.120462
-0.0392266,0.0784532,10.159689
-0.1176798,0.1176798,10.1989155
-0.2353596,0.2745862,10.042009
-0.0392266,0.0784532,10.159689
0.1176798,-0.0,10.1989155
-0.1176798,0.19613299,10.277369
-0.0,0.2745862,10.395049
-0.0784532,0.0392266,10.120462
-0.0,0.0784532,10.1989155
0.0392266,0.1176798,10.159689
-0.0784532,0.0784532,10.081236
-0.0784532,0.0784532,10.120462
-0.0784532,0.1569064,10.238142
-0.1176798,0.0784532,10.120462
-0.1176798,0.0784532,10.159689
-0.0784532,0.0784532,10.081236
-0.0784532,0.0784532,10.1989155
-0.0,0.2353596,10.081236
-0.1176798,0.0392266,10.120462
-0.0,0.0392266,10.277369
0.0784532,0.1569064,10.1989155
-0.0784532,0.1176798,10.159689
-0.0784532,0.1176798,10.120462
-0.0784532,0.0784532,10.120462
-0.0392266,-0.5099458,10.002783
-0.0,0.0784532,10.042009
-0.0392266,0.0784532,10.277369
0.5099458,-0.0,10.120462
-0.1176798,0.19613299,10.316595
0.0392266,0.19613299,10.355823
-0.1176798,0.0392266,10.120462
-0.19613299,0.0392266,10.316595
-0.1569064,0.1569064,10.277369
-0.1569064,-0.5099458,10.1989155
-0.1176798,0.0784532,10.159689
-0.1569064,0.0784532,10.081236
-0.0,0.0392266,10.159689
0.0392266,0.6276256,10.081236
0.6276256,0.1176798,10.081236
-0.0784532,-0.0392266,10.1989155
-0.0784532,0.1569064,10.159689
-0.2353596,0.1176798,10.120462
-0.1176798,0.19613299,10.159689
-0.0784532,0.19613299,10.1989155
-0.0392266,0.1176798,10.630408
-0.0784532,0.0784532,10.1989155
-0.19613299,-0.0,10.159689
0.0392266,-0.0392266,10.081236
1.7259704,6.4723887,7.335374
1.7259704,6.433162,7.335374
1.6475172,6.433162,7.2176943
1.7651969,6.4723887,7.2176943
1.6475172,6.433162,7.2961473
1.5298374,6.433162,7.256921
1.4121575,6.550842,7.3746004
1.2552512,6.7077484,7.335374
1.0983448,6.6292953,7.100014
1.0198916,6.6292953,7.0607877
1.2552512,6.7077484,6.746975
1.2160245,6.550842,6.7862015
