x,y,z
2.75,-3.4375,-59.875
2.6875,-3.5625,-59.625
2.4375,-3.625,-59.625
2.3125,-3.75,-59.75
2.375,-3.875,-59.625
2.375,-4.0,-59.5625
2.375,-4.0,-59.5
2.625,-4.0625,-59.375
2.6875,-4.25,-59.4375
2.875,-4.1875,-59.5625
2.9375,-4.25,-59.5625
3.0625,-4.25,-59.5625
3.0625,-4.0625,-59.6875
3.1875,-4.0625,-59.6875
3.0625,-4.0625,-59.5625
2.875,-4.125,-59.5625
2.75,-4.125,-59.4375
2.875,-4.0625,-59.375
2.9375,-4.0625,-59.1875
2.9375,-4.125,-58.9375
2.875,-4.0,-58.8125
2.9375,-3.9375,-58.75
3.0625,-3.9375,-58.875
3.3125,-3.8125,-58.6875
3.5625,-3.625,-58.625
3.5,-3.75,-58.5625
3.625,-3.6875,-58.75
3.9375,-3.5625,-58.8125
4.125,-3.6875,-58.8125
4.125,-3.625,-59.0625
4.4375,-3.4375,-58.8125
4.5625,-3.4375,-59.0625
4.75,-3.4375,-59.0625
4.9375,-3.125,-59.1875
5.4375,-2.875,-59.125
5.9375,-2.8125,-59.0625
6.8125,-2.5,-58.75
8.1875,-2.0,-58.3125
9.625,-1.625,-58.125
11.5625,-1.1875,-57.75
13.875,-0.75,-57.4375
16.3125,-0.125,-56.8125
18.5,0.5,-56.25
20.75,1.375,-55.5
22.3125,2.0625,-55.1875
24.3125,3.625,-54.25
24.25,4.875,-53.875
23.875,6.1875,-53.5
22.9375,7.3125,-53.375
22.1875,8.375,-53.1875
21.25,9.25,-53.1875
20.4375,9.9375,-53.125
19.5,10.4375,-53.125
18.6875,10.4375,-53.4375
18.0,9.8125,-53.5625
17.125,9.0,-53.875
16.8125,7.8125,-54.1875
16.125,6.6875,-54.5625
15.3125,5.0,-55.0
14.5625,3.4375,-55.25
13.8125,1.5625,-55.375
12.8125,-0.0625,-55.3125
12.0,-1.625,-55.5
11.375,-3.375,-55.625
10.1875,-4.6875,-55.375
9.3125,-6.5,-55.4375
8.5,-7.875,-55.3125
7.5625,-9.3125,-55.125
6.625,-10.6875,-55.0
5.6875,-12.0,-54.875
4.9375,-13.5625,-54.4375
3.875,-15.0625,-54.0
3.0625,-16.75,-53.625
2.0625,-18.3125,-52.9375
1.0625,-19.875,-52.3125
0.125,-21.3125,-51.8125
-0.625,-22.9375,-51.25
-1.0625,-24.375,-50.5
-1.8125,-25.875,-49.9375
-3.0625,-28.25,-48.4375
-3.5,-29.25,-47.875
-3.875,-30.25,-47.1875
-4.0625,-31.375,-46.4375
-4.25,-32.125,-45.75
-4.8125,-33.0,-45.1875
-5.0,-33.375,-44.4375
-5.4375,-34.75,-43.4375
-5.625,-35.1875,-42.875
-5.8125,-35.5625,-42.5625
-6.1875,-35.9375,-41.875
-6.75,-36.3125,-41.375
-6.9375,-36.75,-40.9375
-7.1875,-37.125,-40.75
-7.375,-37.4375,-40.25
-7.625,-37.8125,-39.9375
-7.875,-38.1875,-39.5625
-8.625,-39.0,-38.8125
-8.75,-39.25,-38.5625
-9.0,-39.5,-38.3125
-9.125,-39.625,-37.75
-9.1875,-39.875,-37.5
-9.0,-40.0,-37.125
-9.0625,-40.1875,-36.8125
-8.6875,-40.0625,-36.9375
-8.5625,-40.1875,-36.625
-8.375,-40.1875,-36.375
-8.375,-40.0625,-36.3125
-8.375,-40.25,-36.25
-8.625,-40.3125,-36.1875
-8.6875,-40.5,-36.125
-8.75,-40.75,-35.9375
-8.8125,-41.0,-35.5625
-8.625,-40.9375,-35.625
-8.5625,-41.25,-35.625
-8.5625,-41.5625,-35.375
-8.4375,-41.8125,-35.125
-8.1875,-42.0625,-34.9375
-8.3125,-42.125,-34.75
-8.3125,-42.1875,-34.8125
-8.375,-42.1875,-34.6875
-8.5,-42.4375,-34.75
-8.5,-42.5,-34.5625
-8.5,-42.6875,-34.375
-8.625,-42.75,-34.5
-8.5625,-42.8125,-34.4375
-8.625,-43.0625,-34.5
-8.5,-43.125,-34.25
-8.75,-43.1875,-33.6875
-8.8125,-43.125,-33.625
-8.75,-43.0625,-33.75
-8.9375,-43.125,-33.6875
-9.25,-43.125,-33.6875
-8.9375,-43.0625,-33.5625
-8.875,-43.0,-33.625
-8.6875,-43.0,-33.8125
-8.25,-43.0625,-33.875
-8.1875,-43.375,-33.875
-8.25,-43.4375,-33.5
-7.9375,-43.4375,-33.625
-7.875,-43.5,-33.5625
-7.875,-43.625,-33.5625
-7.9375,-43.6875,-33.3125
-8.0625,-43.8125,-33.0625
-8.4375,-43.875,-32.6875
-8.625,-43.875,-32.375
-8.5,-43.875,-32.5
-8.5625,-44.0,-32.0625
-8.4375,-44.125,-31.875
-8.8125,-44.25,-31.5625
-9.0,-44.5,-31.5625
-9.0,-44.5,-31.625
-8.9375,-44.4375,-31.9375
-8.9375,-44.5,-31.9375
-8.9375,-44.375,-31.8125
-8.8125,-44.1875,-31.8125
-8.875,-43.9375,-31.875
-8.6875,-43.875,-32.0625
-8.6875,-43.75,-32.1875
-8.9375,-43.75,-32.0625
