x,y,z
0.78453195,-0.19613299,9.414384
0.588399,-0.1569064,10.081236
0.2745862,-0.1176798,10.002783
-0.6276256,0.1176798,10.473502
0.4314926,-0.0784532,10.277369
0.6276256,-0.1569064,9.80665
0.19613299,-0.1176798,10.159689
0.0392266,-0.0392266,10.159689
0.19613299,-0.19613299,10.159689
0.4314926,-0.1569064,10.159689
0.39226598,-0.0,10.277369
0.4707192,-0.0392266,10.120462
0.39226598,-0.0784532,10.120462
0.4707192,-0.0392266,10.042009
0.4314926,0.0392266,10.238142
0.4314926,-0.0392266,9.963556
0.4314926,-0.588399,10.159689
0.35303938,-0.0392266,10.081236
0.39226598,-0.0392266,10.159689
0.39226598,-0.1569064,10.042009
0.3138128,-0.19613299,10.1989155
0.39226598,-0.1176798,10.002783
0.35303938,-0.19613299,10.081236
0.39226598,-0.2353596,10.159689
0.35303938,-0.2745862,10.081236
0.3138128,-0.0784532,9.963556
0.4707192,-0.1569064,10.081236
0.2353596,-0.1176798,10.081236
0.2745862,-0.0784532,10.120462
0.35303938,-0.0392266,10.002783
0.2745862,-0.0,10.120462
0.4314926,-0.0784532,10.120462
0.35303938,-0.0784532,10.1989155
0.39226598,-0.0392266,10.120462
0.4314926,0.0392266,10.120462
0.4314926,-0.0392266,10.1989155
0.35303938,-0.1176798,10.120462
0.4314926,-0.1569064,10.042009
0.3138128,-0.0392266,10.238142
0.35303938,-0.2745862,10.002783
0.35303938,-0.1569064,10.120462
0.3138128,-0.2353596,10.159689
0.6668522,-0.588399,9.963556
0.5099458,-0.6276256,10.277369
0.19613299,0.0784532,10.042009
0.2745862,0.2353596,9.492837
0.2745862,0.1569064,9.963556
0.4314926,-0.0392266,10.1989155
0.5099458,-0.0784532,10.238142
0.2353596,0.19613299,10.238142
0.6276256,-0.0,10.120462
0.5099458,-0.2745862,9.963556
0.70607877,-0.588399,10.081236
0.39226598,-0.8237586,10.120462
0.4314926,-0.0,10.395049
0.4707192,0.74530536,11.689527
0.4314926,0.4314926,9.767424
-0.0392266,-0.1176798,9.68897
0.39226598,-0.2353596,10.238142
0.1569064,-0.0784532,10.238142
0.3138128,-0.19613299,10.159689
0.1569064,0.0392266,10.1989155
0.2745862,-0.3138128,9.649743
0.35303938,-0.0784532,10.159689
0.39226598,-0.2353596,10.9442215
0.4314926,-0.4707192,11.140354
-0.1569064,0.0392266,11.53262
-0.9022118,0.6276256,12.552511
-0.19613299,0.78453195,12.827098
-0.70607877,1.176798,12.630965
-0.78453195,0.98066497,12.317152
-1.4513842,0.39226598,11.76798
-2.0790098,-0.0,13.023231
-2.1574628,0.35303938,13.964669
-1.5690639,0.78453195,13.6900835
-2.7066352,1.0591182,13.572403
-2.8635418,1.176798,14.866881
-3.9226599,1.3337044,15.886772
-4.3149257,1.2552512,15.57296
-4.0795665,0.6276256,15.729866
-4.3541527,-0.19613299,14.670748
-4.275699,-0.588399,13.650856
-4.903325,-0.2353596,12.827098
-5.491724,0.588399,12.9447775
-5.374044,1.4906107,13.49395
-5.76631,2.1182363,13.925443
-5.8055367,2.4712758,13.650856
-5.491724,2.0397832,13.258591
-5.060231,1.9221034,12.866324
-5.6094036,2.0790098,12.2779255
-5.491724,2.6674087,12.081793
-5.0210047,3.2558076,11.375713
-4.2364726,3.3734875,10.630408
-2.9812214,3.1381278,9.5320635
-2.5889556,3.0596747,8.355266
-2.2359161,3.0204482,7.5707335
-3.1381278,3.4911673,7.2961473
-4.118793,3.6088471,7.8845463
-4.8248715,4.0795665,8.669079
-4.4326057,4.628739,8.669079
