x,y,z
-9.25,30.75,-55.8125
-9.4375,30.6875,-55.625
-9.25,30.75,-55.25
-9.375,30.875,-55.1875
-9.25,30.875,-55.1875
-9.375,30.75,-55.3125
-9.3125,30.875,-55.0625
-9.3125,30.75,-55.0625
-9.3125,30.75,-55.0
-9.3125,30.6875,-55.0
-9.3125,30.4375,-55.125
-9.375,30.3125,-55.25
-9.375,30.375,-55.1875
-9.375,30.5,-54.875
-9.3125,30.4375,-54.9375
-9.375,30.5,-55.125
-9.3125,30.5625,-55.125
-9.375,30.5,-55.0625
-9.3125,30.5625,-54.875
-9.25,30.375,-54.75
-9.1875,30.5,-54.75
-9.0625,30.5,-54.5625
-9.25,30.4375,-54.625
-9.125,30.4375,-54.5625
-9.3125,30.4375,-54.375
-9.1875,30.6875,-54.375
-9.3125,30.6875,-54.3125
-9.625,31.0,-54.4375
-9.625,30.9375,-54.5
-9.6875,30.75,-54.875
-9.625,30.75,-54.6875
-9.5,30.6875,-54.625
-9.5,30.3125,-54.75
-9.625,30.0,-54.75
-9.5625,30.0,-54.8125
-9.25,29.9375,-54.625
-9.5625,29.9375,-54.5
-9.75,30.125,-54.5
-9.625,30.1875,-54.625
-9.75,30.4375,-54.5625
-9.5625,30.625,-54.5625
-9.5,30.8125,-54.5625
-9.625,30.8125,-54.75
-9.375,30.6875,-54.75
-9.0625,30.5625,-54.9375
-8.9375,30.4375,-54.9375
-9.0625,30.4375,-54.875
-9.1875,30.125,-55.125
-9.4375,30.125,-55.1875
-9.5625,30.0625,-55.1875
-9.75,30.25,-55.1875
-10.0,30.25,-55.4375
-10.0625,30.4375,-55.5
-9.8125,30.4375,-55.25
-9.8125,30.5,-55.125
-9.75,30.5,-55.0
-9.5,30.5,-54.8125
-9.4375,30.375,-54.75
-9.1875,30.3125,-54.875
-9.125,30.375,-54.6875
-9.125,30.1875,-54.5
-9.1875,30.125,-54.6875
-9.1875,30.125,-54.8125
-9.25,30.1875,-54.875
-9.3125,30.0625,-55.0625
-9.5625,30.3125,-55.1875
-9.8125,30.125,-55.0
-9.6875,30.125,-54.75
-9.6875,30.3125,-54.75
-9.6875,30.375,-54.875
-9.6875,30.3125,-54.9375
-9.6875,30.375,-54.9375
-9.6875,30.5625,-55.0
-9.4375,30.4375,-54.9375
-9.4375,30.5625,-55.125
-9.625,30.75,-55.3125
-9.4375,30.5625,-55.375
-9.1875,30.5625,-55.125
-8.625,30.5625,-55.125
-8.125,30.6875,-54.9375
-7.5625,30.6875,-54.8125
-6.9375,30.75,-54.5625
-6.0625,30.875,-54.375
-5.1875,30.75,-54.3125
-4.4375,30.875,-54.25
-3.625,30.9375,-54.5625
-3.0,30.875,-54.5625
-2.25,30.8125,-54.875
-1.625,30.75,-54.9375
-1.125,30.8125,-55.25
-0.6875,30.6875,-55.375
-0.375,30.8125,-55.75
-0.125,30.8125,-55.75
-0.125,30.875,-55.8125
-0.1875,31.25,-55.8125
-0.1875,31.4375,-55.625
-0.1875,31.625,-55.875
0.0,31.5625,-55.8125
-0.0625,31.5,-55.75
0.0,31.75,-55.5
-0.1875,31.9375,-55.5
-0.3125,32.125,-55.3125
-0.4375,32.0625,-55.0625
-0.5,32.0625,-54.9375
-0.4375,32.0625,-54.6875
-0.625,32.1875,-54.5
-0.625,32.5625,-54.3125
-0.6875,32.5,-54.25
-0.5,32.4375,-54.125
-0.1875,32.4375,-54.0625
0.0625,32.3125,-54.125
0.1875,32.3125,-53.9375
0.3125,32.3125,-53.75
0.5625,32.3125,-53.4375
0.875,32.125,-53.0625
1.0625,32.125,-52.8125
1.125,32.25,-52.5
1.375,32.25,-52.125
1.9375,32.1875,-51.6875
2.625,31.8125,-51.125
3.9375,31.25,-51.125
4.875,30.8125,-50.9375
5.9375,30.25,-50.75
7.0625,29.875,-50.6875
8.0,29.125,-50.625
9.125,28.4375,-50.5625
10.375,27.5625,-50.3125
11.5,27.0,-50.125
12.5625,26.3125,-49.9375
13.75,25.5625,-49.625
14.8125,24.6875,-49.25
15.875,23.9375,-49.125
17.25,23.8125,-48.75
18.625,23.6875,-48.25
19.8125,23.4375,-47.8125
21.0625,23.0,-47.0
22.25,22.5625,-46.3125
23.3125,21.9375,-45.6875
24.625,21.4375,-45.1875
25.9375,20.75,-44.3125
26.875,19.875,-43.4375
27.8125,19.125,-42.8125
28.9375,18.625,-42.0625
29.9375,18.125,-41.5
30.6875,17.75,-40.9375
31.625,17.5,-40.375
32.5625,17.1875,-39.75
33.125,17.125,-39.3125
