x,y,z
-2.25,19.5625,-55.0625
-2.125,19.4375,-55.1875
-2.1875,19.3125,-55.375
-2.25,19.0625,-55.25
-2.4375,18.9375,-55.1875
-2.625,18.75,-55.0
-2.625,19.0,-54.875
-2.625,18.8125,-54.5625
-2.4375,18.875,-54.5
-2.625,18.75,-54.6875
-2.5,18.8125,-54.375
-2.75,18.8125,-54.5
-2.3125,18.8125,-54.6875
-2.125,18.8125,-54.625
-2.0625,18.9375,-54.6875
-2.0625,19.0,-54.9375
-2.1875,18.8125,-54.875
-2.0625,18.9375,-54.6875
-2.1875,18.875,-54.8125
-1.9375,19.0625,-54.625
-2.3125,18.9375,-54.4375
-2.3125,18.875,-54.625
-2.4375,18.9375,-54.6875
-2.3125,18.9375,-54.6875
-2.375,18.8125,-54.8125
-2.5,18.5625,-54.625
-2.3125,18.5,-54.4375
-2.375,18.5625,-54.625
-2.3125,18.6875,-54.8125
-2.3125,18.8125,-54.8125
-2.125,18.8125,-54.6875
-2.4375,18.9375,-54.625
-2.375,19.0,-54.625
-2.375,19.0625,-54.875
-2.4375,18.9375,-55.1875
-2.5,18.8125,-55.1875
-2.375,18.8125,-55.0
-2.375,18.6875,-54.9375
-2.5,18.375,-54.9375
-2.25,18.4375,-54.9375
-2.1875,18.4375,-54.8125
-2.375,18.6875,-54.375
-2.4375,18.9375,-54.25
-2.375,18.875,-54.0625
-2.125,18.9375,-54.0
-2.25,19.0625,-53.8125
-2.375,19.25,-53.875
-2.4375,19.25,-53.875
-2.1875,19.1875,-54.25
-2.125,19.125,-54.1875
-2.0625,19.1875,-54.25
-2.125,18.9375,-54.375
-1.8125,18.875,-54.4375
-1.5625,19.0,-54.3125
-1.75,18.875,-54.3125
-1.75,19.125,-54.3125
-1.875,19.125,-54.3125
-1.9375,19.125,-54.4375
-1.9375,19.1875,-54.375
-2.1875,19.375,-54.25
-2.3125,19.3125,-54.375
-2.4375,19.0625,-54.375
-2.375,19.0625,-54.5625
-2.5,18.875,-54.75
-2.4375,19.0,-54.4375
-2.4375,18.875,-54.375
-2.375,18.875,-54.5
-2.3125,18.8125,-54.625
