x,y,z
4.609375,-0.390625,0.171875
4.53125,-0.390625,0.0
4.34375,0.171875,1.09375
4.328125,-0.609375,0.140625
4.1875,0.0,0.390625
4.0625,-0.609375,0.609375
3.9375,-0.390625,0.84375
3.71875,-0.390625,0.390625
3.5625,-0.84375,0.609375
3.609375,-0.84375,-0.390625
3.640625,-0.84375,-0.390625
3.703125,-0.84375,-0.390625
356.53125,-0.84375,-0.390625
332.48438,-0.84375,-0.390625
312.09375,-0.84375,-0.390625
288.54688,-0.84375,-0.390625
264.14063,-0.84375,-0.390625
239.90625,-0.84375,-0.390625
263.875,-48.28125,21.859375
