x,y,z
-19.625,4.0,-44.25
-19.5625,4.125,-44.125
-19.75,4.25,-44.125
-19.6875,4.3125,-44.1875
-19.6875,4.375,-44.0625
-19.6875,4.3125,-43.875
-19.9375,4.3125,-44.0625
-19.9375,4.3125,-43.9375
-19.9375,4.3125,-43.875
-19.9375,4.1875,-43.75
-19.75,4.125,-43.3125
-19.8125,4.1875,-43.1875
-19.75,4.125,-43.3125
-19.8125,4.125,-43.625
-19.75,3.9375,-43.5625
-19.6875,3.6875,-43.5625
-19.875,3.5625,-43.375
-19.875,3.5625,-43.5625
-20.125,3.5,-43.6875
-20.125,3.5625,-43.75
-20.125,3.5,-43.6875
-20.125,3.4375,-43.3125
-20.25,3.625,-43.3125
-20.375,3.6875,-43.1875
-20.25,3.5,-43.3125
-20.25,3.4375,-43.1875
-20.125,3.25,-43.0625
-20.1875,3.1875,-42.9375
-20.125,3.25,-42.8125
-20.25,3.3125,-42.8125
-20.0,3.3125,-42.9375
-20.0625,3.375,-43.125
-20.0625,3.625,-43.1875
-20.0,3.875,-42.9375
-19.9375,3.9375,-43.0625
-19.4375,3.9375,-43.25
-19.3125,4.1875,-43.375
-19.0625,4.3125,-43.4375
-19.125,4.4375,-43.3125
-18.8125,4.6875,-43.125
-18.8125,5.125,-43.0
-18.375,5.1875,-43.1875
-17.875,5.6875,-43.25
-17.625,6.0,-43.375
-17.1875,6.125,-43.5
-16.625,6.4375,-43.5625
-15.625,6.625,-43.8125
-14.5625,6.75,-44.1875
-13.25,6.5625,-44.625
-11.8125,6.875,-44.9375
-10.3125,6.9375,-45.125
-8.6875,7.0,-45.1875
-6.5625,7.1875,-45.375
-4.25,7.1875,-45.8125
-1.75,7.0625,-45.9375
0.9375,6.9375,-46.0625
3.875,6.625,-45.875
6.6875,5.8125,-45.625
10.0,5.0625,-45.25
13.1875,4.25,-44.6875
16.3125,3.375,-43.875
19.3125,2.375,-42.75
22.375,1.6875,-41.375
25.1875,1.125,-39.8125
28.0,0.6875,-38.125
30.8125,0.625,-36.25
33.3125,0.625,-34.4375
35.625,0.8125,-32.375
37.875,1.0,-30.375
39.5625,1.5625,-28.0625
41.0625,2.0625,-25.75
42.625,2.625,-23.1875
43.8125,3.125,-21.0625
44.6875,3.625,-18.875
46.25,4.6875,-14.6875
46.875,5.125,-12.4375
47.625,5.375,-10.75
48.0,5.625,-9.125
48.25,5.9375,-7.5625
48.75,6.25,-6.1875
48.875,6.375,-4.75
48.75,6.6875,-3.25
48.9375,6.6875,-2.125
49.0,6.6875,-1.1875
49.0,7.0,0.0
49.0625,7.0625,1.0625
49.125,7.0,1.75
48.875,7.0625,2.8125
48.875,7.0625,3.5
48.9375,7.1875,4.375
48.875,7.1875,5.125
48.875,7.25,5.875
48.8125,6.875,6.5625
48.9375,6.6875,7.1875
48.9375,6.4375,7.75
49.0,6.1875,8.0625
48.875,5.875,8.625
48.8125,5.625,9.0
48.625,5.25,9.375
48.6875,5.0,9.625
48.8125,4.6875,9.9375
48.6875,4.5625,10.125
48.4375,4.1875,10.4375
48.3125,3.8125,10.6875
48.375,3.5,10.8125
48.5625,3.0625,10.8125
48.5625,2.6875,10.75
48.4375,2.125,10.5625
48.3125,1.625,10.3125
48.4375,0.625,9.875
48.5625,0.1875,9.5625
48.6875,-0.3125,9.1875
48.6875,-1.0,8.75
48.75,-1.75,8.25
48.8125,-2.5625,8.125
48.75,-3.0625,7.6875
48.75,-3.5625,7.1875
48.625,-3.8125,6.625
48.8125,-4.25,6.0625
48.75,-4.75,5.5
48.6875,-5.125,5.0
48.375,-5.4375,4.5625
48.5,-5.625,4.0
48.4375,-6.125,3.625
48.5,-6.375,3.3125
48.6875,-6.375,3.1875
48.4375,-6.5,2.8125
48.375,-6.4375,2.6875
48.625,-6.1875,2.375
48.6875,-5.8125,1.875
48.875,-5.125,1.1875
48.9375,-4.0,0.4375
48.875,-2.875,-0.5625
48.9375,-1.8125,-1.9375
48.875,-0.5,-3.4375
48.6875,0.375,-5.4375
48.1875,1.3125,-7.9375
47.8125,2.1875,-10.5625
47.0,2.4375,-12.9375
46.375,2.4375,-15.125
45.8125,2.3125,-17.3125
45.0,2.0625,-18.875
44.6875,1.875,-20.1875
44.0625,1.875,-21.4375
43.875,2.1875,-22.1875
43.4375,2.4375,-22.8125
43.125,3.125,-23.9375
