x,y,z
82.484375,-0.84375,-1.0625
82.484375,-0.859375,-0.859375
82.4375,-1.09375,-0.390625
82.359375,-0.859375,-0.859375
82.4375,0.0,-0.390625
82.40625,-0.84375,0.390625
82.421875,-0.171875,0.390625
82.546875,-0.390625,-0.609375
82.46875,-1.09375,-1.3125
82.5,-0.171875,-0.390625
82.515625,-0.609375,-0.84375
82.4375,-0.609375,-0.84375
82.375,-0.609375,-0.84375
82.328125,-0.609375,0.171875
82.234375,-1.09375,0.0
82.265625,-0.609375,-0.390625
82.171875,-1.28125,-0.140625
81.96875,-1.53125,-0.140625
81.953125,-1.0625,0.140625
82.0,-0.140625,0.140625
82.046875,-0.84375,-0.140625
82.125,-0.171875,0.0
82.15625,-0.609375,-0.140625
82.015625,-0.140625,3.53125
82.0,-0.84375,-0.84375
81.84375,-1.28125,-0.390625
81.6875,-1.3125,0.84375
81.828125,0.0,0.0
81.796875,-0.84375,0.0
81.84375,-0.609375,-1.0625
8.234375,-1.28125,-0.390625
