x,y,z
1.8828768,-1.4906107,13.140911
0.1569064,-1.0983448,10.042009
-2.0790098,0.2745862,9.414384
-1.8828768,0.19613299,11.140354
-2.0790098,-0.8237586,12.709418
-1.8044236,-0.70607877,12.670192
-1.8044236,-0.3138128,11.728753
-2.1966896,-0.0392266,11.061901
-2.432049,-0.8237586,11.53262
-2.7066352,-2.2359161,12.513285
-3.2558076,-2.8635418,11.924886
-3.334261,-3.216581,11.375713
-3.412714,-3.6088471,11.258034
-2.6281822,-3.3734875,11.29726
-2.432049,-2.9027684,11.454167
-2.824315,-2.5105023,11.76798
-3.5303938,-2.7066352,11.924886
-4.511059,-2.8635418,11.76798
-5.1779113,-2.8635418,11.258034
-5.64863,-2.8635418,10.591182
-5.88399,-2.824315,10.316595
-6.237029,-2.6281822,10.159689
-6.7862015,-2.1966896,10.1989155
-7.963,-2.2359161,10.159689
-8.943665,-2.0397832,10.120462
-9.335931,-2.3928225,10.316595
-9.296704,-2.824315,10.395049
-9.45361,-2.8635418,9.92433
-9.45361,-2.9027684,9.767424
-9.845877,-2.9812214,9.610517
-10.434276,-2.9812214,9.179024
-10.669635,-3.0204482,8.825985
-11.29726,-3.0596747,8.433719
-11.101128,-3.0989013,8.041452
-10.473502,-3.334261,7.72764
-10.1989155,-3.334261,6.668522
-9.257478,-3.216581,6.354709
-8.943665,-3.412714,5.8447633
-9.414384,-3.0204482,4.9425516
-9.492837,-2.5105023,4.3541527
-9.649743,-1.8828768,3.80498
-9.375157,-1.0983448,3.726527
-9.335931,-0.9022118,3.5303938
-9.061344,-0.6276256,3.9618864
-8.982891,-0.35303938,3.5696206
-8.629851,0.0784532,2.9812214
-8.237586,0.35303938,2.2359161
-7.923773,0.8237586,1.7259704
-8.002226,0.6668522,1.2944778
-8.002226,0.70607877,1.0591182
-7.60996,1.3337044,0.35303938
-7.2961473,1.5690639,0.1176798
-7.2176943,1.6867437,0.0784532
-7.256921,1.7259704,-0.0
-7.1784678,2.1182363,-0.0
-7.0607877,2.9027684,-1.0983448
-6.943108,3.0989013,-0.9022118
-6.3939357,3.2558076,-1.2160245
-6.237029,2.941995,-1.2944778
-6.237029,2.5889556,-1.0198916
-6.237029,2.3928225,-1.2552512
-6.237029,2.432049,-1.3337044
-6.433162,2.6674087,-1.5690639
-6.3939357,2.824315,-1.8436501
-6.668522,2.2359161,-1.9221034
-5.88399,3.1773546,-1.4906107
-6.0408964,3.7657535,-1.9613299
-6.354709,3.6873002,-1.4513842
-6.7862015,3.1773546,-1.2552512
-7.100014,3.0204482,-1.9221034
-7.2176943,2.7850885,-1.8828768
-7.100014,2.745862,-1.8828768
-7.021561,3.1773546,-2.0397832
-7.256921,3.2950344,-2.0005565
-7.4138274,3.1381278,-2.1182363
-7.3746004,2.7066352,-2.1574628
-7.60996,2.4712758,-1.8828768
-7.963,2.7066352,-2.1574628
-8.276813,2.745862,-2.1182363
-8.472945,3.0596747,-2.1182363
-8.551398,3.334261,-2.0005565
-8.433719,3.726527,-2.0005565
-8.433719,3.8442068,-2.1966896
-8.433719,3.4519408,-2.2751427
-8.041452,3.0204482,-2.3928225
-7.2176943,3.0204482,-2.1574628
-7.2961473,2.6281822,-2.432049
-7.256921,2.432049,-2.6674087
-7.4922805,2.6674087,-2.6281822
-7.8845463,3.0596747,-2.5497289
-8.119906,2.9812214,-2.7066352
-8.394492,3.1773546,-3.0204482
-8.237586,3.5303938,-3.2558076
-7.923773,3.6480737,-3.6873002
-7.806093,3.6480737,-3.6088471
-7.4922805,3.6873002,-3.4519408
-7.531507,4.197246,-3.412714
-8.551398,4.0795665,-3.334261
-10.551955,3.334261,-3.334261
-8.982891,3.4519408,-2.7850885
-8.747532,2.432049,-1.0198916
-8.904438,1.5690639,0.78453195
-9.375157,1.5298374,1.2160245
-10.512729,2.2359161,0.4707192
-8.512172,3.0596747,-0.2745862
-8.041452,3.2558076,-0.19613299
-6.3154826,2.9812214,0.5491724
-7.963,2.8635418,1.1375713
-23.810545,5.5309505,-9.492837
-9.218251,1.8828768,-5.295591
-10.904995,2.824315,-2.9812214
-10.277369,1.8436501,1.5690639
-10.434276,1.9613299,3.1381278
-11.964112,2.5497289,2.432049
-12.160246,2.7066352,1.8044236
-11.807206,2.2359161,1.0983448
-11.218807,1.7651969,0.39226598
-10.826541,1.3337044,-0.0
-10.787314,0.74530536,-0.1569064
-10.708861,0.3138128,0.0784532
-10.669635,-0.588399,0.5491724
-10.748088,0.1569064,0.8629852
